"a1b2c3d4,d4c3b2a1",0,pcap,Libpcap File Format[1]
0a0d0d0a,0,pcapng,PCAP Next Generation Dump File Format[2]
edabeedb,0,rpm,RedHat Package Manager (RPM) package [3]
53503031,0,bin,Amazon Kindle Update Package [4]
00,0,"pic,pif,sea,ytr",IBM Storyboard bitmap file Windows Program Information File Mac Stuffit Self-Extracting Archive IRIS OCR data file
000000000000000000000000000000000000000000000000,11,pdb,PalmPilot Database/Document File
bebafeca,0,dba,Palm Desktop Calendar Archive
00014244,0,dba,Palm Desktop To Do Archive
00014454,0,tda,Palm Desktop Calendar Archive
00010000,0,,Palm Desktop Data File (Access format)
00000100,0,ico,Computer icon encoded in ICO file format[5]
667479703367,4,"3gp,3g2",3rd Generation Partnership Project 3GPP and 3GPP2 multimedia files
1f9d,0,"z,tar.z",compressed file (often tar zip) using Lempel-Ziv-Welch algorithm
1fa0,0,"z,tar.z",Compressed file (often tar zip) using LZH algorithm
4241434b4d494b454449534b,0,bac,File or tape containing a backup done with AmiBack on an Amiga. It typically is paired with an index file (idx) with the table of contents.
425a68,0,bz2,Compressed file using Bzip2 algorithm
"474946383761,474946383961",0,gif,Image file encoded in the Graphics Interchange Format (GIF)[6]
"49492a00,4d4d002a",0,"tif,tiff",Tagged Image File Format
49492a00100000004352,0,cr2,Canon RAW Format Version 2[7] Canon's RAW format is based on the TIFF file format[8]
802a5fd7,0,cin,Kodak Cineon image
"524e4301,524e4302",0,,Compressed file using Rob Northen Compression (version 1 and 2) algorithm
"53445058,58504453",0,dpx,SMPTE DPX image
762f3101,0,exr,OpenEXR image
425047fb,0,bpg,Better Portable Graphics format[9]
"ffd8ffdb,ffd8ffe000104a4649460001,ffd8ffe1????457869660000",0,"jpg,jpeg",JPEG raw or in the JFIF or Exif file format
464f524d????????494c424d,0 any,"ilbm,lbm,ibm,iff",IFF Interleaved Bitmap Image
464f524d????????38535658,0 any,"8svx,8sv,svx,snd,iff",IFF 8-Bit Sampled Voice
464f524d????????4143424d,0 any,"acbm,iff",Amiga Contiguous Bitmap
464f524d????????414e424d,0 any,"anbm,iff",IFF Animated Bitmap
464f524d????????414e494d,0 any,"anim,iff",IFF CEL Animation
464f524d????????46415858,0 any,"faxx,fax,iff",IFF Facsimile Image
464f524d????????46545854,0 any,"ftxt,iff",IFF Formatted Text
464f524d????????534d5553,0 any,"smus,smu,mus,iff",IFF Simple Musical Score
464f524d????????434d5553,0 any,"cmus,mus,iff",IFF Musical Score
464f524d????????5955564e,0 any,"yuvn,yuv,iff",IFF YUV Image
464f524d????????46414e54,0 any,iff,Amiga Fantavision Movie
464f524d????????41494646,0 any,"aiff,aif,aifc,snd,iff",Audio Interchange File Format
